unieke_id,latitude,longitude,naam,rijstrook,Kmp_Rsys
3640,51.18460764,4.289731136,Parking Kruibeke,R10,"94,695"
3638,51.18444736,4.289886819,Parking Kruibeke,R11,"94,692"
3639,51.18447616,4.289862173,Parking Kruibeke,R12,"94,692"
2304,51.11500236,4.372085349,Snede noordzijde sleuf Boom,R10,"10,268"
2303,51.11499857,4.371990129,Snede noordzijde sleuf Boom,R10,
2302,51.11532081,4.371560926,Snede noordzijde sleuf Boom,R11,"10,284"
2301,51.11532081,4.371560926,Snede noordzijde sleuf Boom,R10,"10,284"
2300,51.11530523,4.371673213,Snede noordzijde sleuf Boom,R10,"0,278"
3630,51.19618185,4.311844161,Halve snede kmpt. 95.7,R12,"96,711"
3631,51.19283239,4.306274524,Halve snede kmpt. 96.2,R10,"96,172"
3632,51.19283239,4.306274524,Halve snede kmpt. 96.2,R11,"96,172"
3633,51.19283239,4.306274524,Halve snede kmpt. 96.2,R12,"96,172"
3634,51.18992473,4.301173067,Halve snede kmpt. 96.7,R10,"95,691"
2309,50.8691148,4.5553058,Snede Everberg - Sterrebeek 1,R11,"12,106"
3635,51.18992473,4.301173067,Halve snede kmpt. 96.7,R11,"95,691"
2308,50.86914738,4.5553077,Snede Everberg - Sterrebeek 1,R10,"12,106"
3636,51.18992473,4.301173067,Halve snede kmpt. 96.7,R12,"95,691"
3637,51.1844212,4.289906288,Parking Kruibeke,R10,"94,692"
3650,50.877653,4.2777,Knooppunt Groot-Bijgaarden Noord,R11,"0,016"
3651,50.86780028,4.464575847,Knooppunt St-Stevens-Woluwe West,R10,"0,022"
2320,51.365864,4.316004,grens - Zandvliet - Antwerpsebaan,R10,
2317,51.366054,4.319755,grens - Zandvliet - Antwerpsebaan,R10,"0,136"
3649,50.877634,4.277737,Knooppunt Groot-Bijgaarden Noord,R10,"0,016"
2316,51.365622,4.320441,grens - Zandvliet - Antwerpsebaan,R11,"52,331"
2315,51.365648,4.320448,grens - Zandvliet - Antwerpsebaan,R10,"52,331"
2314,50.86898245,4.555295287,Snede Everberg - Sterrebeek 1,R12,"12,109"
2313,50.86894177,4.5552909,Snede Everberg - Sterrebeek 1,R11,"12,109"
2312,50.86891206,4.555285126,Snede Everberg - Sterrebeek 1,R10,"12,109"
2311,50.86904963,4.55529843,Snede Everberg - Sterrebeek 1,R13,"12,106"
2310,50.86908671,4.55530213,Snede Everberg - Sterrebeek 1,R12,"12,106"
3641,51.1845814,4.289755743,Parking Kruibeke,R11,"94,695"
3642,51.18455532,4.289785864,Parking Kruibeke,R12,"94,695"
3643,51.18482849,4.291265225,Parking Kruibeke,R10,"94,798"
3644,51.18284933,4.286552437,Parking Kruibeke,R10,"94,417"
3645,51.18369762,4.287195424,Parking Kruibeke,R10,"94,488"
3646,51.18598651,4.292666209,Parking Kruibeke,W09,"94,904"
2319,51.366403,4.318442,grens - Zandvliet - Antwerpsebaan,R10,"0,243"
3647,51.1857449,4.292153661,Parking Kruibeke,R10,"94,904"
2318,51.36616,4.319998,grens - Zandvliet - Antwerpsebaan,R10,"0,03"
3648,50.87774365,4.277989939,Knooppunt Groot-Bijgaarden Noord,R10,"0,814"
1000,51.06013769,3.811193236,complex Heusden (4),R10,"0,197"
2331,51.243234,4.701954,Complex Zoersel,R10,"0,074"
2330,51.243588,4.703607,Complex Zoersel,R11,"20,202"
2328,51.243619,4.695888,Complex Zoersel,R10,"0,544"
2327,51.24365,4.695869,Complex Zoersel,B09,"0,544"
2326,51.243877,4.699265,Complex Zoersel,R10,"0,087"
